Mission,Activity,Antenna,Start,End,Setup,Teardown
MIS-029,MIS-029_ACT_08,DSS-28,21.32,29.02,1.0,0.25
MIS-015,MIS-015_ACT_12,DSS-11,21.77,28.67,1.0,0.25
MIS-074,MIS-074_ACT_04,DSS-24,21.8,30.6,1.0,0.25
JNO,JNO_ACT_07,DSS-30,22.37,29.47,1.0,0.25
MIS-017,MIS-017_ACT_12,DSS-22,22.93,31.73,1.0,0.25
MIS-086,MIS-086_ACT_11,DSS-16,23.1,29.6,1.0,0.25
MIS-027,MIS-027_ACT_08,DSS-27,23.46,31.36,1.0,0.25
MIS-046,MIS-046_ACT_00,DSS-48,23.48,31.18,1.0,0.25
MIS-021,MIS-021_ACT_03,DSS-39,24.03,31.73,1.0,0.25
MIS-012,MIS-012_ACT_00,DSS-44,24.11,30.31,1.0,0.25
MIS-082,MIS-082_ACT_02,DSS-45,24.79,32.89,1.0,0.25
MIS-087,MIS-087_ACT_03,DSS-47,25.96,33.46,1.0,0.25
MIS-008,MIS-008_ACT_03,DSS-15,26.79,34.089999999999996,1.0,0.25
MIS-093,MIS-093_ACT_04,DSS-35,26.83,32.93,1.0,0.25
MIS-072,MIS-072_ACT_09,DSS-18,27.51,33.61,1.0,0.25
MIS-061,MIS-061_ACT_06,DSS-36,28.08,35.18,1.0,0.25
MIS-016,MIS-016_ACT_03,DSS-32,29.6,37.0,1.0,0.25
MIS-019,MIS-019_ACT_02,DSS-14,31.26,37.46,1.0,0.25
MIS-015,MIS-015_ACT_11,DSS-42,31.91,38.81,1.0,0.25
MIS-074,MIS-074_ACT_02,DSS-13,32.97,41.769999999999996,1.0,0.25
MIS-046,MIS-046_ACT_02,DSS-28,33.22,40.92,1.0,0.25
MIS-086,MIS-086_ACT_10,DSS-38,33.42,39.92,1.0,0.25
MIS-024,MIS-024_ACT_03,DSS-37,33.78,40.480000000000004,1.0,0.25
MIS-011,MIS-011_ACT_03,DSS-29,34.21,42.61,1.0,0.25
MIS-017,MIS-017_ACT_03,DSS-41,34.23,43.03,1.0,0.25
MIS-079,MIS-079_ACT_03,DSS-48,35.62,42.22,1.0,0.25
MIS-027,MIS-027_ACT_03,DSS-27,35.82,43.72,1.0,0.25
MIS-012,MIS-012_ACT_06,DSS-16,35.98,42.18,1.0,0.25
MIS-055,MIS-055_ACT_13,DSS-12,38.03,44.03,1.0,0.25
JNO,JNO_ACT_15,DSS-43,39.76,46.86,1.0,0.25
MIS-015,MIS-015_ACT_14,DSS-11,40.25,47.15,1.0,0.25
MIS-071,MIS-071_ACT_02,DSS-14,40.44,46.04,1.0,0.25
MIS-061,MIS-061_ACT_01,DSS-44,41.36,48.46,1.0,0.25
MIS-019,MIS-019_ACT_04,DSS-45,41.59,47.790000000000006,1.0,0.25
MIS-037,MIS-037_ACT_07,DSS-26,41.99,48.690000000000005,1.0,0.25
MIS-046,MIS-046_ACT_03,DSS-30,43.19,50.89,1.0,0.25
MIS-077,MIS-077_ACT_03,DSS-35,43.28,48.480000000000004,1.0,0.25
MIS-087,MIS-087_ACT_01,DSS-22,44.45,51.95,1.0,0.25
MIS-029,MIS-029_ACT_14,DSS-38,46.38,54.080000000000005,1.0,0.25
MIS-013,MIS-013_ACT_01,DSS-40,47.38,54.28,1.0,0.25
MIS-055,MIS-055_ACT_12,DSS-23,47.97,53.97,1.0,0.25
MIS-044,MIS-044_ACT_02,DSS-46,48.29,56.79,1.0,0.25
JNO,JNO_ACT_02,DSS-49,48.8,55.9,1.0,0.25
MIS-008,MIS-008_ACT_02,DSS-18,48.81,56.11,1.0,0.25
MIS-027,MIS-027_ACT_07,DSS-39,49.58,57.48,1.0,0.25
MIS-063,MIS-063_ACT_09,DSS-42,50.34,56.34,1.0,0.25
MIS-024,MIS-024_ACT_02,DSS-34,50.56,57.260000000000005,1.0,0.25
MIS-026,MIS-026_ACT_01,DSS-47,51.73,58.33,1.0,0.25
MIS-049,MIS-049_ACT_02,DSS-30,52.16,59.16,1.0,0.25
MIS-016,MIS-016_ACT_02,DSS-17,52.67,60.07,1.0,0.25
MIS-086,MIS-086_ACT_09,DSS-41,53.24,59.74,1.0,0.25
MIS-062,MIS-062_ACT_09,DSS-10,54.8,60.599999999999994,1.0,0.25
MIS-055,MIS-055_ACT_06,DSS-15,56.23,62.23,1.0,0.25
MIS-087,MIS-087_ACT_04,DSS-40,56.45,63.95,1.0,0.25
MIS-019,MIS-019_ACT_05,DSS-27,57.63,63.830000000000005,1.0,0.25
MIS-079,MIS-079_ACT_01,DSS-49,57.64,64.24,1.0,0.25
JNO,JNO_ACT_06,DSS-25,58.3,65.39999999999999,1.0,0.25
MIS-024,MIS-024_ACT_01,DSS-48,58.61,65.31,1.0,0.25
MIS-013,MIS-013_ACT_12,DSS-26,59.19,66.09,1.0,0.25
MIS-074,MIS-074_ACT_01,DSS-28,60.26,69.06,1.0,0.25
MIS-027,MIS-027_ACT_09,DSS-31,60.78,68.68,1.0,0.25
MIS-017,MIS-017_ACT_11,DSS-33,62.88,71.68,1.0,0.25
MIS-015,MIS-015_ACT_00,DSS-12,63.22,70.12,1.0,0.25
MIS-072,MIS-072_ACT_12,DSS-11,63.67,69.77,1.0,0.25
MIS-061,MIS-061_ACT_03,DSS-38,64.97,72.07,1.0,0.25
JNO,JNO_ACT_09,DSS-30,68.88,75.97999999999999,1.0,0.25
MIS-087,MIS-087_ACT_00,DSS-13,70.57,78.07,1.0,0.25
MIS-019,MIS-019_ACT_09,DSS-39,71.94,78.14,1.0,0.25
MIS-011,MIS-011_ACT_05,DSS-44,74.51,82.91000000000001,1.0,0.25
MIS-013,MIS-013_ACT_00,DSS-33,75.49,82.39,1.0,0.25
MIS-012,MIS-012_ACT_07,DSS-49,75.76,81.96000000000001,1.0,0.25
MIS-082,MIS-082_ACT_00,DSS-11,76.04,84.14,1.0,0.25
JNO,JNO_ACT_01,DSS-32,77.26,84.36,1.0,0.25
MIS-063,MIS-063_ACT_06,DSS-31,77.64,83.64,1.0,0.25
MIS-055,MIS-055_ACT_08,DSS-24,78.63,84.63,1.0,0.25
MIS-019,MIS-019_ACT_06,DSS-16,79.56,85.76,1.0,0.25
MIS-017,MIS-017_ACT_02,DSS-39,80.84,89.64,1.0,0.25
MIS-086,MIS-086_ACT_13,DSS-28,80.86,87.36,1.0,0.25
MIS-015,MIS-015_ACT_04,DSS-26,82.25,89.15,1.0,0.25
MIS-074,MIS-074_ACT_03,DSS-36,84.66,93.46,1.0,0.25
MIS-013,MIS-013_ACT_08,DSS-12,85.36,92.26,1.0,0.25
MIS-019,MIS-019_ACT_12,DSS-47,87.45,93.65,1.0,0.25
MIS-011,MIS-011_ACT_00,DSS-20,88.21,96.61,1.0,0.25
MIS-067,MIS-067_ACT_07,DSS-29,88.88,96.58,1.0,0.25
MIS-016,MIS-016_ACT_04,DSS-28,88.93,96.33000000000001,1.0,0.25
MIS-015,MIS-015_ACT_03,DSS-49,90.53,97.43,1.0,0.25
MIS-037,MIS-037_ACT_06,DSS-18,91.47,98.17,1.0,0.25
MIS-043,MIS-043_ACT_05,DSS-38,93.72,100.92,1.0,0.25
JNO,JNO_ACT_00,DSS-46,94.15,101.25,1.0,0.25
MIS-027,MIS-027_ACT_04,DSS-39,94.29,102.19000000000001,1.0,0.25
MIS-082,MIS-082_ACT_07,DSS-16,95.54,103.64,1.0,0.25
MIS-041,MIS-041_ACT_10,DSS-33,99.16,106.66,1.0,0.25
MIS-008,MIS-008_ACT_01,DSS-43,99.83,107.13,1.0,0.25
MIS-024,MIS-024_ACT_00,DSS-24,100.24,106.94,1.0,0.25
MIS-019,MIS-019_ACT_03,DSS-30,101.05,107.25,1.0,0.25
MIS-037,MIS-037_ACT_01,DSS-18,101.19,107.89,1.0,0.25
MIS-016,MIS-016_ACT_01,DSS-22,101.77,109.17,1.0,0.25
MIS-086,MIS-086_ACT_04,DSS-27,102.0,108.5,1.0,0.25
MIS-063,MIS-063_ACT_13,DSS-41,105.96,111.96,1.0,0.25
MIS-095,MIS-095_ACT_11,DSS-32,106.88,114.47999999999999,1.0,0.25
MIS-008,MIS-008_ACT_00,DSS-31,108.38,115.67999999999999,1.0,0.25
MIS-015,MIS-015_ACT_09,DSS-36,109.18,116.08000000000001,1.0,0.25
MIS-087,MIS-087_ACT_05,DSS-42,110.41,117.91,1.0,0.25
MIS-027,MIS-027_ACT_02,DSS-17,110.93,118.83000000000001,1.0,0.25
MIS-019,MIS-019_ACT_13,DSS-48,111.25,117.45,1.0,0.25
MIS-044,MIS-044_ACT_03,DSS-33,112.09,120.59,1.0,0.25
MIS-024,MIS-024_ACT_07,DSS-40,112.32,119.02,1.0,0.25
MIS-055,MIS-055_ACT_03,DSS-12,112.8,118.8,1.0,0.25
MIS-041,MIS-041_ACT_06,DSS-45,114.07,121.57,1.0,0.25
MIS-078,MIS-078_ACT_10,DSS-47,115.14,121.24,1.0,0.25
MIS-017,MIS-017_ACT_01,DSS-24,115.31,124.11,1.0,0.25
MIS-026,MIS-026_ACT_04,DSS-44,115.35,121.94999999999999,1.0,0.25
MIS-093,MIS-093_ACT_08,DSS-34,116.26,122.36,1.0,0.25
MIS-012,MIS-012_ACT_02,DSS-49,116.83,123.03,1.0,0.25
MIS-082,MIS-082_ACT_03,DSS-32,116.84,124.94,1.0,0.25
MIS-062,MIS-062_ACT_06,DSS-20,117.01,122.81,1.0,0.25
MIS-029,MIS-029_ACT_01,DSS-22,117.57,125.27,1.0,0.25
MIS-071,MIS-071_ACT_04,DSS-16,120.16,125.75999999999999,1.0,0.25
MIS-087,MIS-087_ACT_08,DSS-11,120.89,128.39,1.0,0.25
MIS-037,MIS-037_ACT_00,DSS-47,123.21,129.91,1.0,0.25
MIS-074,MIS-074_ACT_00,DSS-25,124.02,132.82,1.0,0.25
MIS-011,MIS-011_ACT_04,DSS-49,124.37,132.77,1.0,0.25
MIS-063,MIS-063_ACT_10,DSS-40,125.54,131.54000000000002,1.0,0.25
MIS-027,MIS-027_ACT_00,DSS-37,128.94,136.84,1.0,0.25
MIS-016,MIS-016_ACT_05,DSS-43,135.02,142.42000000000002,1.0,0.25
MIS-093,MIS-093_ACT_05,DSS-38,135.69,141.79,1.0,0.25
JNO,JNO_ACT_14,DSS-29,136.08,143.18,1.0,0.25
MIS-024,MIS-024_ACT_05,DSS-34,139.11,145.81,1.0,0.25
MIS-078,MIS-078_ACT_03,DSS-31,140.5,146.6,1.0,0.25
MIS-086,MIS-086_ACT_00,DSS-46,141.34,147.84,1.0,0.25
MIS-015,MIS-015_ACT_01,DSS-27,144.03,150.93,1.0,0.25
MIS-077,MIS-077_ACT_01,DSS-36,145.83,151.03,1.0,0.25
MIS-063,MIS-063_ACT_07,DSS-30,146.17,152.17,1.0,0.25
MIS-029,MIS-029_ACT_02,DSS-13,146.23,153.92999999999998,1.0,0.25
MIS-046,MIS-046_ACT_01,DSS-11,147.46,155.16,1.0,0.25
MIS-086,MIS-086_ACT_12,DSS-23,151.69,158.19,1.0,0.25
JNO,JNO_ACT_05,DSS-44,151.91,159.01,1.0,0.25
MIS-011,MIS-011_ACT_01,DSS-10,152.2,160.6,1.0,0.25
MIS-015,MIS-015_ACT_05,DSS-15,154.09,160.99,1.0,0.25
MIS-019,MIS-019_ACT_08,DSS-12,155.87,162.07,1.0,0.25
MIS-017,MIS-017_ACT_06,DSS-32,156.35,165.15,1.0,0.25
MIS-037,MIS-037_ACT_05,DSS-22,156.6,163.29999999999998,1.0,0.25
MIS-055,MIS-055_ACT_00,DSS-41,159.38,165.38,1.0,0.25
MIS-027,MIS-027_ACT_06,DSS-38,160.45,168.35,1.0,0.25
MIS-012,MIS-012_ACT_03,DSS-49,160.71,166.91,1.0,0.25
MIS-079,MIS-079_ACT_02,DSS-40,160.89,167.48999999999998,1.0,0.25
MIS-029,MIS-029_ACT_03,DSS-44,160.93,168.63,1.0,0.25
MIS-080,MIS-080_ACT_06,DSS-26,161.73,167.42999999999998,1.0,0.25
MIS-015,MIS-015_ACT_02,DSS-18,163.65,170.55,1.0,0.25
MIS-073,MIS-073_ACT_02,DSS-24,166.64,174.33999999999997,1.0,0.25
DAWN,DAWN_ACT_06,DSS-41,0.15,8.15,1.0,0.25
MIS-089,MIS-089_ACT_01,DSS-42,0.58,8.28,1.0,0.25
MIS-039,MIS-039_ACT_08,DSS-33,2.04,8.14,1.0,0.25
MIS-030,MIS-030_ACT_08,DSS-44,2.68,9.28,1.0,0.25
MIS-100,MIS-100_ACT_00,DSS-36,3.22,12.22,1.0,0.25
MIS-060,MIS-060_ACT_01,DSS-47,3.52,10.52,1.0,0.25
MIS-010,MIS-010_ACT_07,DSS-32,3.79,10.29,1.0,0.25
MIS-059,MIS-059_ACT_08,DSS-38,9.25,17.65,1.0,0.25
MIS-032,MIS-032_ACT_09,DSS-49,10.7,16.9,1.0,0.25
MRO,MRO_ACT_00,DSS-10,10.73,18.73,1.0,0.25
MIS-048,MIS-048_ACT_08,DSS-39,11.66,20.36,1.0,0.25
MIS-058,MIS-058_ACT_05,DSS-14,12.29,20.39,1.0,0.25
DAWN,DAWN_ACT_12,DSS-12,12.88,20.880000000000003,1.0,0.25
MIS-088,MIS-088_ACT_02,DSS-13,13.46,21.96,1.0,0.25
MIS-042,MIS-042_ACT_00,DSS-36,15.04,23.939999999999998,1.0,0.25
MIS-010,MIS-010_ACT_02,DSS-26,17.2,23.7,1.0,0.25
MIS-039,MIS-039_ACT_09,DSS-49,18.18,24.28,1.0,0.25
MIS-051,MIS-051_ACT_09,DSS-23,20.32,27.12,1.0,0.25
MIS-089,MIS-089_ACT_05,DSS-31,21.15,28.849999999999998,1.0,0.25
MIS-009,MIS-009_ACT_06,DSS-34,22.92,31.720000000000002,1.0,0.25
MIS-034,MIS-034_ACT_00,DSS-43,24.62,31.12,1.0,0.25
MIS-035,MIS-035_ACT_01,DSS-33,25.0,30.0,1.0,0.25
MIS-032,MIS-032_ACT_02,DSS-26,25.67,31.87,1.0,0.25
MIS-030,MIS-030_ACT_10,DSS-29,26.23,32.83,1.0,0.25
MIS-099,MIS-099_ACT_03,DSS-10,26.28,31.580000000000002,1.0,0.25
MIS-059,MIS-059_ACT_05,DSS-25,33.24,41.64,1.0,0.25
MRO,MRO_ACT_09,DSS-17,33.7,41.7,1.0,0.25
MIS-032,MIS-032_ACT_05,DSS-21,34.23,40.43,1.0,0.25
MIS-099,MIS-099_ACT_09,DSS-23,35.83,41.129999999999995,1.0,0.25
MIS-058,MIS-058_ACT_09,DSS-19,35.88,43.980000000000004,1.0,0.25
MIS-065,MIS-065_ACT_09,DSS-31,40.15,46.15,1.0,0.25
MIS-094,MIS-094_ACT_00,DSS-21,45.12,50.519999999999996,1.0,0.25
MIS-065,MIS-065_ACT_11,DSS-36,47.46,53.46,1.0,0.25
MIS-038,MIS-038_ACT_00,DSS-37,48.88,55.480000000000004,1.0,0.25
MIS-075,MIS-075_ACT_08,DSS-16,48.94,57.14,1.0,0.25
MIS-042,MIS-042_ACT_10,DSS-45,49.41,58.309999999999995,1.0,0.25
MIS-099,MIS-099_ACT_01,DSS-32,49.61,54.91,1.0,0.25
DSCO,DSCO_ACT_00,DSS-27,50.06,51.06,1.0,0.25
MIS-100,MIS-100_ACT_03,DSS-19,50.17,59.17,1.0,0.25
MIS-088,MIS-088_ACT_07,DSS-44,50.22,58.72,1.0,0.25
DAWN,DAWN_ACT_14,DSS-31,50.58,58.58,1.0,0.25
MIS-039,MIS-039_ACT_13,DSS-12,51.98,58.08,1.0,0.25
MIS-009,MIS-009_ACT_05,DSS-24,53.79,62.59,1.0,0.25
MIS-058,MIS-058_ACT_02,DSS-23,56.22,64.32,1.0,0.25
MIS-065,MIS-065_ACT_02,DSS-20,56.88,62.88,1.0,0.25
MIS-056,MIS-056_ACT_01,DSS-32,57.4,65.9,1.0,0.25
MIS-034,MIS-034_ACT_07,DSS-42,57.89,64.39,1.0,0.25
MRO,MRO_ACT_03,DSS-37,58.53,66.53,1.0,0.25
MIS-075,MIS-075_ACT_03,DSS-13,60.41,68.61,1.0,0.25
MIS-030,MIS-030_ACT_12,DSS-43,60.47,67.07,1.0,0.25
MIS-014,MIS-014_ACT_09,DSS-22,61.32,69.92,1.0,0.25
MIS-032,MIS-032_ACT_04,DSS-20,64.43,70.63000000000001,1.0,0.25
MIS-048,MIS-048_ACT_00,DSS-10,64.59,73.29,1.0,0.25
DAWN,DAWN_ACT_18,DSS-15,65.08,73.08,1.0,0.25
MIS-065,MIS-065_ACT_01,DSS-27,66.64,72.64,1.0,0.25
MIS-088,MIS-088_ACT_06,DSS-40,66.88,75.38,1.0,0.25
MIS-039,MIS-039_ACT_04,DSS-14,67.07,73.16999999999999,1.0,0.25
MRO,MRO_ACT_02,DSS-25,68.08,76.08,1.0,0.25
MIS-051,MIS-051_ACT_02,DSS-18,68.65,75.45,1.0,0.25
MIS-034,MIS-034_ACT_03,DSS-42,70.57,77.07,1.0,0.25
MIS-018,MIS-018_ACT_07,DSS-37,71.1,76.89999999999999,1.0,0.25
MIS-094,MIS-094_ACT_04,DSS-26,73.87,79.27000000000001,1.0,0.25
MIS-005,MIS-005_ACT_03,DSS-47,74.24,80.03999999999999,1.0,0.25
MIS-014,MIS-014_ACT_08,DSS-19,75.97,84.57,1.0,0.25
MIS-030,MIS-030_ACT_06,DSS-21,78.54,85.14,1.0,0.25
MIS-060,MIS-060_ACT_02,DSS-43,80.23,87.23,1.0,0.25
MIS-051,MIS-051_ACT_06,DSS-42,81.4,88.2,1.0,0.25
MIS-048,MIS-048_ACT_10,DSS-38,81.51,90.21000000000001,1.0,0.25
MIS-100,MIS-100_ACT_09,DSS-34,81.89,90.89,1.0,0.25
MIS-042,MIS-042_ACT_06,DSS-14,84.16,93.06,1.0,0.25
MIS-058,MIS-058_ACT_07,DSS-10,84.44,92.53999999999999,1.0,0.25
MRO,MRO_ACT_07,DSS-48,85.37,93.37,1.0,0.25
MIS-010,MIS-010_ACT_00,DSS-22,89.32,95.82,1.0,0.25
MIS-099,MIS-099_ACT_06,DSS-17,89.35,94.64999999999999,1.0,0.25
MIS-034,MIS-034_ACT_04,DSS-11,89.85,96.35,1.0,0.25
DAWN,DAWN_ACT_03,DSS-42,90.04,98.04,1.0,0.25
MIS-051,MIS-051_ACT_01,DSS-32,90.95,97.75,1.0,0.25
MIS-030,MIS-030_ACT_01,DSS-15,91.72,98.32,1.0,0.25
MIS-009,MIS-009_ACT_00,DSS-19,92.3,101.1,1.0,0.25
MIS-088,MIS-088_ACT_04,DSS-26,92.97,101.47,1.0,0.25
MRO,MRO_ACT_13,DSS-25,96.09,104.09,1.0,0.25
MIS-005,MIS-005_ACT_08,DSS-14,96.73,102.53,1.0,0.25
MIS-050,MIS-050_ACT_03,DSS-23,97.47,103.77,1.0,0.25
MIS-058,MIS-058_ACT_13,DSS-17,100.24,108.33999999999999,1.0,0.25
MIS-075,MIS-075_ACT_02,DSS-29,100.26,108.46000000000001,1.0,0.25
MIS-039,MIS-039_ACT_02,DSS-45,100.93,107.03,1.0,0.25
MIS-051,MIS-051_ACT_10,DSS-13,102.42,109.22,1.0,0.25
MIS-089,MIS-089_ACT_07,DSS-38,103.39,111.09,1.0,0.25
MIS-099,MIS-099_ACT_07,DSS-49,103.65,108.95,1.0,0.25
MIS-056,MIS-056_ACT_04,DSS-14,105.36,113.86,1.0,0.25
MIS-042,MIS-042_ACT_05,DSS-34,105.6,114.5,1.0,0.25
MIS-088,MIS-088_ACT_01,DSS-16,106.92,115.42,1.0,0.25
MIS-060,MIS-060_ACT_00,DSS-44,107.02,114.02,1.0,0.25
MIS-005,MIS-005_ACT_06,DSS-25,108.43,114.23,1.0,0.25
MIS-014,MIS-014_ACT_06,DSS-11,109.24,117.83999999999999,1.0,0.25
MIS-094,MIS-094_ACT_01,DSS-21,109.84,115.24000000000001,1.0,0.25
MIS-075,MIS-075_ACT_01,DSS-28,110.19,118.39,1.0,0.25
MIS-050,MIS-050_ACT_02,DSS-29,114.56,120.86,1.0,0.25
MIS-039,MIS-039_ACT_07,DSS-15,114.76,120.86,1.0,0.25
DAWN,DAWN_ACT_04,DSS-13,116.5,124.5,1.0,0.25
MIS-042,MIS-042_ACT_02,DSS-18,117.54,126.44000000000001,1.0,0.25
MIS-100,MIS-100_ACT_01,DSS-19,118.23,127.23,1.0,0.25
MIS-068,MIS-068_ACT_04,DSS-21,118.42,124.02,1.0,0.25
MIS-054,MIS-054_ACT_05,DSS-46,119.89,125.89,1.0,0.25
MIS-075,MIS-075_ACT_12,DSS-33,123.18,131.38,1.0,0.25
MIS-065,MIS-065_ACT_10,DSS-10,124.78,130.78,1.0,0.25
MIS-059,MIS-059_ACT_01,DSS-12,126.56,134.96,1.0,0.25
MIS-010,MIS-010_ACT_04,DSS-23,127.77,134.26999999999998,1.0,0.25
MIS-051,MIS-051_ACT_08,DSS-13,128.26,135.06,1.0,0.25
MIS-100,MIS-100_ACT_10,DSS-42,132.15,141.15,1.0,0.25
MRO,MRO_ACT_11,DSS-19,132.94,140.94,1.0,0.25
DAWN,DAWN_ACT_19,DSS-24,134.07,142.07,1.0,0.25
MIS-094,MIS-094_ACT_02,DSS-48,136.07,141.47,1.0,0.25
MIS-010,MIS-010_ACT_10,DSS-40,138.39,144.89,1.0,0.25
MIS-009,MIS-009_ACT_08,DSS-16,138.45,147.25,1.0,0.25
MIS-032,MIS-032_ACT_07,DSS-21,139.06,145.26,1.0,0.25
MIS-059,MIS-059_ACT_07,DSS-44,140.96,149.36,1.0,0.25
MIS-060,MIS-060_ACT_03,DSS-28,143.73,150.73,1.0,0.25
MIS-058,MIS-058_ACT_11,DSS-18,145.77,153.87,1.0,0.25
MIS-034,MIS-034_ACT_06,DSS-43,146.79,153.29,1.0,0.25
MIS-050,MIS-050_ACT_06,DSS-47,147.47,153.77,1.0,0.25
MIS-032,MIS-032_ACT_01,DSS-45,149.55,155.75,1.0,0.25
MIS-081,MIS-081_ACT_07,DSS-20,149.78,158.48,1.0,0.25
MIS-075,MIS-075_ACT_00,DSS-48,150.7,158.89999999999998,1.0,0.25
MIS-048,MIS-048_ACT_09,DSS-24,150.89,159.58999999999997,1.0,0.25
MIS-038,MIS-038_ACT_02,DSS-38,151.9,158.5,1.0,0.25
MIS-076,MIS-076_ACT_05,DSS-35,152.06,160.66,1.0,0.25
DAWN,DAWN_ACT_01,DSS-42,154.8,162.8,1.0,0.25
MIS-005,MIS-005_ACT_02,DSS-46,155.45,161.25,1.0,0.25
MIS-060,MIS-060_ACT_04,DSS-29,157.87,164.87,1.0,0.25
MIS-051,MIS-051_ACT_04,DSS-36,160.15,166.95000000000002,1.0,0.25
MIS-058,MIS-058_ACT_00,DSS-33,162.12,170.22,1.0,0.25
MIS-056,MIS-056_ACT_09,DSS-34,163.76,172.26,1.0,0.25
MIS-075,MIS-075_ACT_10,DSS-17,164.2,172.39999999999998,1.0,0.25
MIS-035,MIS-035_ACT_02,DSS-28,164.68,169.68,1.0,0.25
MIS-032,MIS-032_ACT_06,DSS-45,165.54,171.73999999999998,1.0,0.25
MIS-076,MIS-076_ACT_04,DSS-37,166.58,175.18,1.0,0.25
MIS-042,MIS-042_ACT_04,DSS-47,167.16,176.06,1.0,0.25
MIS-081,MIS-081_ACT_12,DSS-12,167.43,176.13,1.0,0.25
DAWN,DAWN_ACT_08,DSS-13,167.71,175.71,1.0,0.25
MIS-023,MIS-023_ACT_00,DSS-29,0.7,9.6,1.0,0.25
MIS-031,MIS-031_ACT_09,DSS-27,6.1,14.1,1.0,0.25
MIS-052,MIS-052_ACT_06,DSS-48,8.6,16.3,1.0,0.25
MIS-069,MIS-069_ACT_06,DSS-16,10.78,18.28,1.0,0.25
MIS-097,MIS-097_ACT_05,DSS-29,15.61,22.41,1.0,0.25
MIS-022,MIS-022_ACT_00,DSS-21,22.38,28.08,1.0,0.25
MIS-098,MIS-098_ACT_03,DSS-46,26.06,31.659999999999997,1.0,0.25
MIS-083,MIS-083_ACT_13,DSS-40,30.74,37.44,1.0,0.25
MIS-052,MIS-052_ACT_04,DSS-33,33.75,41.45,1.0,0.25
MIS-083,MIS-083_ACT_00,DSS-29,50.69,57.39,1.0,0.25
MIS-069,MIS-069_ACT_04,DSS-14,52.12,59.62,1.0,0.25
MIS-047,MIS-047_ACT_07,DSS-21,54.65,63.349999999999994,1.0,0.25
MIS-031,MIS-031_ACT_10,DSS-38,55.4,63.4,1.0,0.25
MIS-098,MIS-098_ACT_05,DSS-36,56.45,62.050000000000004,1.0,0.25
MIS-040,MIS-040_ACT_10,DSS-39,58.83,64.53,1.0,0.25
MIS-069,MIS-069_ACT_08,DSS-46,61.91,69.41,1.0,0.25
MIS-023,MIS-023_ACT_01,DSS-41,65.37,74.27000000000001,1.0,0.25
MIS-057,MIS-057_ACT_01,DSS-45,70.83,76.13,1.0,0.25
MIS-092,MIS-092_ACT_06,DSS-46,71.68,80.28,1.0,0.25
MIS-031,MIS-031_ACT_00,DSS-36,74.69,82.69,1.0,0.25
MIS-098,MIS-098_ACT_14,DSS-34,74.69,80.28999999999999,1.0,0.25
MIS-047,MIS-047_ACT_00,DSS-17,75.23,83.93,1.0,0.25
MIS-052,MIS-052_ACT_01,DSS-41,76.19,83.89,1.0,0.25
